Sample_ID,Word,Language_Indo,Meaning_in_Indonesia,Sentence_in_Indo,Sentence_Clean_Indo,English_Translation_Indo,Category,Language_Malay,Meaning_in_Malay,Sentence_in_Malay,Sentence_Clean_Malay,English_Translation_Malay,False_Friend_Type,Review_Status
FF0118,kakak,Indonesian / Bahasa Indonesia,older brother,Kakakku ustaz.,kakakku ustaz,My brother is ustaz.,General,Malay / Bahasa Malaysia,elder sister,Kakak saya cantik.,kakak saya cantik,My sister is beautiful.,same_form_different_meaning,OK
FF0119,kakitangan,Indonesian / Bahasa Indonesia,An accomplice,Dia menjadi kaki tangan untuk kes itu.,dia menjadi kaki tangan untuk kes itu,He became an accomplice for it.,General,Malay / Bahasa Malaysia,Staff / personnel,Semua kakitangan dikehendaki memakai tanda nama.,semua kakitangan dikehendaki memakai tanda nama,All staff are required to wear name tags.,same_form_different_meaning,OK
FF0120,kanan,Indonesian / Bahasa Indonesia,right (direction),Belok kanan di simpang itu.,belok kanan di simpang itu,Turn right at that junction.,Law & Public Administration,Malay / Bahasa Malaysia,senior (rank),Pegawai kanan menghadiri sidang itu.,pegawai kanan menghadiri sidang itu,A senior officer attended the session,same_form_different_meaning,OK
FF0121,kapan,Indonesian / Bahasa Indonesia,When? (Interrogative),Kapan terakhir kalian bertemu?,kapan terakhir kalian bertemu?,When was the last time you met?,General,Malay / Bahasa Malaysia,Burial Shroud,Kain kafan itu masih baru.,kain kafan itu masih baru,The shroud is still new.,same_form_different_meaning,OK
FF0122,kardiologis,Indonesian / Bahasa Indonesia,cardiologic/cardiological (adj),Laporan itu bersifat kardiologis.,laporan itu bersifat kardiologis,The report is cardiological.,Medicine & Healthcare,Malay / Bahasa Malaysia,cardiologist (person),Pakar kardiologis menilai ECG pesakit.,pakar kardiologis menilai ecg pesakit,The cardiologist evaluated the patientâ€™s ECG,same_form_different_meaning,OK
FF0123,karyawan,Indonesian / Bahasa Indonesia,employee,Syarikat itu mempunyai 500 orang karyawan.,syarikat itu mempunyai 500 orang karyawan,The company has 500 employees,General,Malay / Bahasa Malaysia,artiste,Filem itu arahan seorang karyawan filem yang terkenal di Malaysia,filem itu arahan seorang karyawan filem yang terkenal di malaysia,The film was directed by a famous filmmaker in Malaysia.,same_form_different_meaning,OK
FF0124,kawal,Indonesian / Bahasa Indonesia,to look after; to supervise,Perawat mengawal pasien pasca operasi.,perawat mengawal pasien pasca operasi,The nurse is looking after the post-op patient.,Law & Public Administration,Malay / Bahasa Malaysia,to control; to guard/patrol,Polis mengawal kawasan sempadan malam ini.,polis mengawal kawasan sempadan malam ini,Police are guarding the border area tonight,same_form_different_meaning,OK
FF0125,kawal selia,Indonesian / Bahasa Indonesia,to look after/supervise selia,Pasukan perlu kawal selia dengan teliti.,pasukan perlu kawal selia dengan teliti,The team must carefully supervise selia.,Information Technology,Malay / Bahasa Malaysia,in control,Pihak berkuasa mengawal selia sepanjang operasi.,pihak berkuasa mengawal selia sepanjang operasi,Authorities controlled during the operation,same_form_different_meaning,OK
FF0126,kawal trafik,Indonesian / Bahasa Indonesia,to look after/supervise trafik,Pasukan perlu kawal trafik dengan teliti.,pasukan perlu kawal trafik dengan teliti,The team must carefully supervise trafik.,Information Technology,Malay / Bahasa Malaysia,trafic control,Pihak JPJ mengawal trafik sepanjang acara itu.,pihak JPJ mengawal trafik sepanjang acara itu,The JPJ will be controlling traffic throughout the event.,same_form_different_meaning,OK
FF0127,kebenaran,Indonesian / Bahasa Indonesia,truth,Kebenaran itu sukar diterima.,kebenaran itu sukar diterima,That truth is hard to accept.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval,Kebenaran ibu bapa diperlukan untuk lawatan.,kebenaran ibu bapa diperlukan untuk lawatan,Parental permission is required for the trip,same_form_different_meaning,OK
FF0128,kebenaran akses,Indonesian / Bahasa Indonesia,truth about akses,Kebenaran akses sukar dibuktikan.,kebenaran akses sukar dibuktikan,The truth about akses is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for akses,Kebenaran akses mesti diperoleh sebelum mula.,kebenaran akses mesti diperoleh sebelum mula,Permission for akses must be obtained before starting,same_form_different_meaning,OK
FF0129,kebenaran bertulis,Indonesian / Bahasa Indonesia,truth about bertulis,Kebenaran bertulis sukar dibuktikan.,kebenaran bertulis sukar dibuktikan,The truth about bertulis is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for bertulis,Kebenaran bertulis mesti diperoleh sebelum mula.,kebenaran bertulis mesti diperoleh sebelum mula,Permission for bertulis must be obtained before starting,same_form_different_meaning,OK
FF0130,kebenaran data,Indonesian / Bahasa Indonesia,truth about data,Kebenaran data sukar dibuktikan.,kebenaran data sukar dibuktikan,The truth about data is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for data,Kebenaran data mesti diperoleh sebelum mula.,kebenaran data mesti diperoleh sebelum mula,Permission for data must be obtained before starting,same_form_different_meaning,OK
FF0131,kebenaran etika,Indonesian / Bahasa Indonesia,truth about etika,Kebenaran etika sukar dibuktikan.,kebenaran etika sukar dibuktikan,The truth about etika is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for etika,Kebenaran etika mesti diperoleh sebelum mula.,kebenaran etika mesti diperoleh sebelum mula,Permission for etika must be obtained before starting,same_form_different_meaning,OK
FF0132,kebenaran ibu bapa,Indonesian / Bahasa Indonesia,truth about ibu bapa,Kebenaran ibu bapa sukar dibuktikan.,kebenaran ibu bapa sukar dibuktikan,The truth about ibu bapa is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for ibu bapa,Kebenaran ibu bapa mesti diperoleh sebelum mula.,kebenaran ibu bapa mesti diperoleh sebelum mula,Permission for ibu bapa must be obtained before starting,same_form_different_meaning,OK
FF0133,kebenaran import,Indonesian / Bahasa Indonesia,truth about import,Kebenaran import sukar dibuktikan.,kebenaran import sukar dibuktikan,The truth about import is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for import,Kebenaran import mesti diperoleh sebelum mula.,kebenaran import mesti diperoleh sebelum mula,Permission for import must be obtained before starting,same_form_different_meaning,OK
FF0134,kebenaran kajian,Indonesian / Bahasa Indonesia,truth about kajian,Kebenaran kajian sukar dibuktikan.,kebenaran kajian sukar dibuktikan,The truth about kajian is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for kajian,Kebenaran kajian mesti diperoleh sebelum mula.,kebenaran kajian mesti diperoleh sebelum mula,Permission for kajian must be obtained before starting,same_form_different_meaning,OK
FF0135,kebenaran lisan,Indonesian / Bahasa Indonesia,truth about lisan,Kebenaran lisan sukar dibuktikan.,kebenaran lisan sukar dibuktikan,The truth about lisan is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for lisan,Kebenaran lisan mesti diperoleh sebelum mula.,kebenaran lisan mesti diperoleh sebelum mula,Permission for lisan must be obtained before starting,same_form_different_meaning,OK
FF0136,kebenaran penerbitan,Indonesian / Bahasa Indonesia,truth about penerbitan,Kebenaran penerbitan sukar dibuktikan.,kebenaran penerbitan sukar dibuktikan,The truth about penerbitan is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for penerbitan,Kebenaran penerbitan mesti diperoleh sebelum mula.,kebenaran penerbitan mesti diperoleh sebelum mula,Permission for penerbitan must be obtained before starting,same_form_different_meaning,OK
FF0137,kebenaran pihak berkuasa,Indonesian / Bahasa Indonesia,truth about pihak berkuasa,Kebenaran pihak berkuasa sukar dibuktikan.,kebenaran pihak berkuasa sukar dibuktikan,The truth about pihak berkuasa is hard to prove.,Law & Public Administration,Malay / Bahasa Malaysia,permission/approval for pihak berkuasa,Kebenaran pihak berkuasa mesti diperoleh sebelum mula.,kebenaran pihak berkuasa mesti diperoleh sebelum mula,Permission for pihak berkuasa must be obtained before starting,same_form_different_meaning,OK
FF0138,kecemasan,Indonesian / Bahasa Indonesia,anxiety,Dia mengalami kecemasan menjelang peperiksaan.,dia mengalami kecemasan menjelang peperiksaan,He felt anxiety before the exam.,Medicine & Healthcare,Malay / Bahasa Malaysia,emergency,Unit kecemasan menerima mangsa kemalangan.,unit kecemasan menerima mangsa kemalangan,The emergency unit received accident victims,same_form_different_meaning,OK
FF0139,kecut,Indonesian / Bahasa Indonesia,sour (taste),Buah itu kecut kerana masam.,buah itu kecut kerana masam,The fruit puckered because it was sour.,Law & Public Administration,Malay / Bahasa Malaysia,contract (legal contract),Kontrak itu kecut selepas rundingan.,kontrak itu kecut selepas rundingan,The contract was concluded after negotiation,same_form_different_meaning,OK
FF0140,keganasan,Indonesian / Bahasa Indonesia,ferocity; malignancy,Keganasan tumor dinilai oleh doktor.,keganasan tumor dinilai oleh doktor,The malignancy of the tumor was assessed.,Law & Public Administration,Malay / Bahasa Malaysia,violence,Keganasan domestik mesti dibanteras.,keganasan domestik mesti dibanteras,Domestic violence must be combated,same_form_different_meaning,OK
FF0141,kejayaan,Indonesian / Bahasa Indonesia,glory,Kejayaan itu menjadi sejarah.,kejayaan itu menjadi sejarah,That glory became history.,General/Operations,Malay / Bahasa Malaysia,success,Kejayaan projek itu diraikan.,kejayaan projek itu diraikan,The projectâ€™s success was celebrated,same_form_different_meaning,OK
FF0142,kejut,Indonesian / Bahasa Indonesia,shock / startled,Dia terkejut mendengar berita itu.,dia terkejut mendengar berita itu,He was shocked to hear the news.,Daily Communication,Malay / Bahasa Malaysia,wake up / wake someone up,Ibu kejut saya pada pukul enam pagi.,ibu kejut saya pada pukul enam pagi,Mother woke me up at six in the morning.,derived_form_different_meaning,OK
FF0143,kelainan,Indonesian / Bahasa Indonesia,abnormality/disorder,Kelainan bahasa dalam korpus itu menarik.,kelainan bahasa dalam korpus itu menarik,Linguistic variation in the corpus is interesting.,Medicine & Healthcare,Malay / Bahasa Malaysia,variation/diversity,Kelainan genetik dikesan awal.,kelainan genetik dikesan awal,A genetic disorder was detected early,same_form_different_meaning,OK
FF0144,kelangsingan,Indonesian / Bahasa Indonesia,slenderness (geometry),Kelangsingan bunyi diukur sebagai pitch.,kelangsingan bunyi diukur sebagai pitch,Sound pitch is measured.,Science & Engineering,Malay / Bahasa Malaysia,pitch (sound),Kelangsingan tiang diuji dalam reka bentuk.,kelangsingan tiang diuji dalam reka bentuk,Column slenderness is tested in design,same_form_different_meaning,OK
FF0145,kelayakan,Indonesian / Bahasa Indonesia,fitness/feasibility,Kajian kelayakan projek sudah siap.,kajian kelayakan projek sudah siap,The project feasibility study is complete.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification,Syarat kelayakan biasiswa diumumkan.,syarat kelayakan biasiswa diumumkan,Scholarship eligibility requirements were announced,same_form_different_meaning,OK
FF0146,kelayakan biasiswa,Indonesian / Bahasa Indonesia,feasibility/fitness of biasiswa,Laporan kelayakan biasiswa telah siap.,laporan kelayakan biasiswa telah siap,The feasibility report for biasiswa is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for biasiswa,Semak kelayakan biasiswa sebelum memohon.,semak kelayakan biasiswa sebelum memohon,Check eligibility for biasiswa before applying,same_form_different_meaning,OK
FF0147,kelayakan kapal,Indonesian / Bahasa Indonesia,feasibility/fitness of kapal,Laporan kelayakan kapal telah siap.,laporan kelayakan kapal telah siap,The feasibility report for kapal is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for kapal,Semak kelayakan kapal sebelum memohon.,semak kelayakan kapal sebelum memohon,Check eligibility for kapal before applying,same_form_different_meaning,OK
FF0148,kelayakan kontrak,Indonesian / Bahasa Indonesia,feasibility/fitness of kontrak,Laporan kelayakan kontrak telah siap.,laporan kelayakan kontrak telah siap,The feasibility report for kontrak is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for kontrak,Semak kelayakan kontrak sebelum memohon.,semak kelayakan kontrak sebelum memohon,Check eligibility for kontrak before applying,same_form_different_meaning,OK
FF0149,kelayakan lesen,Indonesian / Bahasa Indonesia,feasibility/fitness of lesen,Laporan kelayakan lesen telah siap.,laporan kelayakan lesen telah siap,The feasibility report for lesen is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for lesen,Semak kelayakan lesen sebelum memohon.,semak kelayakan lesen sebelum memohon,Check eligibility for lesen before applying,same_form_different_meaning,OK
FF0150,kelayakan pelantikan,Indonesian / Bahasa Indonesia,feasibility/fitness of pelantikan,Laporan kelayakan pelantikan telah siap.,laporan kelayakan pelantikan telah siap,The feasibility report for pelantikan is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for pelantikan,Semak kelayakan pelantikan sebelum memohon.,semak kelayakan pelantikan sebelum memohon,Check eligibility for pelantikan before applying,same_form_different_meaning,OK
FF0151,kelayakan pembekal,Indonesian / Bahasa Indonesia,feasibility/fitness of pembekal,Laporan kelayakan pembekal telah siap.,laporan kelayakan pembekal telah siap,The feasibility report for pembekal is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for pembekal,Semak kelayakan pembekal sebelum memohon.,semak kelayakan pembekal sebelum memohon,Check eligibility for pembekal before applying,same_form_different_meaning,OK
FF0152,kelayakan pinjaman,Indonesian / Bahasa Indonesia,feasibility/fitness of pinjaman,Laporan kelayakan pinjaman telah siap.,laporan kelayakan pinjaman telah siap,The feasibility report for pinjaman is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for pinjaman,Semak kelayakan pinjaman sebelum memohon.,semak kelayakan pinjaman sebelum memohon,Check eligibility for pinjaman before applying,same_form_different_meaning,OK
FF0153,kelayakan projek,Indonesian / Bahasa Indonesia,feasibility/fitness of projek,Laporan kelayakan projek telah siap.,laporan kelayakan projek telah siap,The feasibility report for projek is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for projek,Semak kelayakan projek sebelum memohon.,semak kelayakan projek sebelum memohon,Check eligibility for projek before applying,same_form_different_meaning,OK
FF0154,kelayakan tender,Indonesian / Bahasa Indonesia,feasibility/fitness of tender,Laporan kelayakan tender telah siap.,laporan kelayakan tender telah siap,The feasibility report for tender is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for tender,Semak kelayakan tender sebelum memohon.,semak kelayakan tender sebelum memohon,Check eligibility for tender before applying,same_form_different_meaning,OK
FF0155,kelayakan vendor,Indonesian / Bahasa Indonesia,feasibility/fitness of vendor,Laporan kelayakan vendor telah siap.,laporan kelayakan vendor telah siap,The feasibility report for vendor is ready.,Law & Public Administration,Malay / Bahasa Malaysia,eligibility/qualification for vendor,Semak kelayakan vendor sebelum memohon.,semak kelayakan vendor sebelum memohon,Check eligibility for vendor before applying,same_form_different_meaning,OK
FF0156,kelola,Indonesian / Bahasa Indonesia,to administer/govern,Yayasan itu kelola dana pendidikan.,yayasan itu kelola dana pendidikan,The foundation manages education funds.,General/Operations,Malay / Bahasa Malaysia,to manage/maintain,Data pengguna dikelola mengikut polisi privasi.,data pengguna dikelola mengikut polisi privasi,User data is governed under the privacy policy,same_form_different_meaning,OK
FF0157,kemalangan,Indonesian / Bahasa Indonesia,misfortune/setback,Itu kemalangan besar bagi projek kami.,itu kemalangan besar bagi projek kami,That was a big setback for our project.,Maritime & Transport,Malay / Bahasa Malaysia,accident (transport),Kemalangan jalan raya berlaku malam tadi.,kemalangan jalan raya berlaku malam tadi,A road accident happened last night,same_form_different_meaning,OK
FF0158,kenyataan,Indonesian / Bahasa Indonesia,reality; truth,Kenyataan pahit itu sulit diterima.,kenyataan pahit itu sulit diterima,That bitter reality is hard to accept.,Politics & Government,Malay / Bahasa Malaysia,statement/press release,Kenyataan media akan dikeluarkan petang ini.,kenyataan media akan dikeluarkan petang ini,A press statement will be issued this afternoon,same_form_different_meaning,OK
FF0159,kerajaan,Indonesian / Bahasa Indonesia,kingdom (taxonomy),"Dalam biologi, kerajaan ialah tahap taksonomi.",dalam biologi kerajaan ialah tahap taksonomi,"In biology, kingdom is a taxonomic rank.",Politics & Government,Malay / Bahasa Malaysia,government,Kerajaan mengumumkan dasar baharu.,kerajaan mengumumkan dasar baharu,The government announced a new policy,same_form_different_meaning,OK
FF0160,kereta,Indonesian / Bahasa Indonesia,train,Kereta tiba di stasiun tepat waktu.,kereta tiba di stasiun tepat waktu,The train arrived at the station on time.,Maritime & Transport,Malay / Bahasa Malaysia,car,Kereta itu rosak di lebuh raya.,kereta itu rosak di lebuh raya,The car broke down on the highway,same_form_different_meaning,OK
FF0161,kereta api,Indonesian / Bahasa Indonesia,api train/rail context,Kereta api tiba di stesen mengikut jadual.,kereta api tiba di stesen mengikut jadual,The api train arrived at the station on schedule.,Maritime & Transport,Malay / Bahasa Malaysia,api car/vehicle context,Kereta api itu dipandu ke bengkel.,kereta api itu dipandu ke bengkel,The api car was driven to the workshop,same_form_different_meaning,OK
FF0162,kesal,Indonesian / Bahasa Indonesia,Frustrated; Annoyed,Aku kesel sama kamu,aku kesel sama kamu,I am annoyed with you.,General,Malay / Bahasa Malaysia,Regret,Saya kesal kerana terlepas peluang itu.,saya kesal kerana terlepas peluang itu,I regret missing that opportunity.,same_form_different_meaning,OK
FF0163,kesamaan,Indonesian / Bahasa Indonesia,equality,Kesamaan warna pada sampel menunjukkan uniformity.,kesamaan warna pada sampel menunjukkan uniformity,Color uniformity in samples indicates uniformity.,Science & Engineering,Malay / Bahasa Malaysia,uniformity,Kesamaan hak perlu dijamin.,kesamaan hak perlu dijamin,Equality of rights must be ensured,same_form_different_meaning,OK
FF0164,kesan,Indonesian / Bahasa Indonesia,impression/trace,Kesan daktiloskopi ditemui di tempat kejadian.,kesan daktiloskopi ditemui di tempat kejadian,Fingerprint traces were found at the scene.,Science & Engineering,Malay / Bahasa Malaysia,effect/impact,Kesan ubat itu cepat hilang.,kesan ubat itu cepat hilang,The drug's effect wore off quickly,same_form_different_meaning,OK
FF0165,khidmat,Indonesian / Bahasa Indonesia,Solemn / Respect,Majlis itu berjalan dengan khidmat.,majlis itu berjalan dengan khidmat,The ceremony went solemnly.,Maritime & Transport,Malay / Bahasa Malaysia,Service / Dedication,Terima kasih atas khidmat anda kepada negara.,terima kasih atas khidmat anda kepada negara,Thank you for your service to the country.,same_form_different_meaning,OK
FF0166,kilang,Indonesian / Bahasa Indonesia,refinery,Kilang minyak beroperasi 24 jam.,kilang minyak beroperasi 24 jam,The oil refinery runs 24 hours.,Industry & Manufacturing,Malay / Bahasa Malaysia,factory,Kilang itu menghasilkan komponen automotif.,kilang itu menghasilkan komponen automotif,The factory produces automotive components,same_form_different_meaning,OK
FF0167,kilang bateri,Indonesian / Bahasa Indonesia,bateri refinery/processing plant (refinery sense),Kilang bateri mentah berada di pesisir.,kilang bateri mentah berada di pesisir,The raw bateri refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,bateri factory (manufacturing),Kilang bateri itu beroperasi tiga syif.,kilang bateri itu beroperasi tiga syif,The bateri factory runs three shifts,same_form_different_meaning,OK
FF0168,kilang getah,Indonesian / Bahasa Indonesia,getah refinery/processing plant (refinery sense),Kilang getah mentah berada di pesisir.,kilang getah mentah berada di pesisir,The raw getah refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,getah factory (manufacturing),Kilang getah itu beroperasi tiga syif.,kilang getah itu beroperasi tiga syif,The getah factory runs three shifts,same_form_different_meaning,OK
FF0169,kilang keluli,Indonesian / Bahasa Indonesia,keluli refinery/processing plant (refinery sense),Kilang keluli mentah berada di pesisir.,kilang keluli mentah berada di pesisir,The raw keluli refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,keluli factory (manufacturing),Kilang keluli itu beroperasi tiga syif.,kilang keluli itu beroperasi tiga syif,The keluli factory runs three shifts,same_form_different_meaning,OK
FF0170,kilang kertas,Indonesian / Bahasa Indonesia,kertas refinery/processing plant (refinery sense),Kilang kertas mentah berada di pesisir.,kilang kertas mentah berada di pesisir,The raw kertas refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,kertas factory (manufacturing),Kilang kertas itu beroperasi tiga syif.,kilang kertas itu beroperasi tiga syif,The kertas factory runs three shifts,same_form_different_meaning,OK
FF0171,kilang kimia,Indonesian / Bahasa Indonesia,kimia refinery/processing plant (refinery sense),Kilang kimia mentah berada di pesisir.,kilang kimia mentah berada di pesisir,The raw kimia refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,kimia factory (manufacturing),Kilang kimia itu beroperasi tiga syif.,kilang kimia itu beroperasi tiga syif,The kimia factory runs three shifts,same_form_different_meaning,OK
FF0172,kilang makanan,Indonesian / Bahasa Indonesia,makanan refinery/processing plant (refinery sense),Kilang makanan mentah berada di pesisir.,kilang makanan mentah berada di pesisir,The raw makanan refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,makanan factory (manufacturing),Kilang makanan itu beroperasi tiga syif.,kilang makanan itu beroperasi tiga syif,The makanan factory runs three shifts,same_form_different_meaning,OK
FF0173,kilang mikrocip,Indonesian / Bahasa Indonesia,mikrocip refinery/processing plant (refinery sense),Kilang mikrocip mentah berada di pesisir.,kilang mikrocip mentah berada di pesisir,The raw mikrocip refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,mikrocip factory (manufacturing),Kilang mikrocip itu beroperasi tiga syif.,kilang mikrocip itu beroperasi tiga syif,The mikrocip factory runs three shifts,same_form_different_meaning,OK
FF0174,kilang minuman,Indonesian / Bahasa Indonesia,minuman refinery/processing plant (refinery sense),Kilang minuman mentah berada di pesisir.,kilang minuman mentah berada di pesisir,The raw minuman refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,minuman factory (manufacturing),Kilang minuman itu beroperasi tiga syif.,kilang minuman itu beroperasi tiga syif,The minuman factory runs three shifts,same_form_different_meaning,OK
FF0175,kilang plastik,Indonesian / Bahasa Indonesia,plastik refinery/processing plant (refinery sense),Kilang plastik mentah berada di pesisir.,kilang plastik mentah berada di pesisir,The raw plastik refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,plastik factory (manufacturing),Kilang plastik itu beroperasi tiga syif.,kilang plastik itu beroperasi tiga syif,The plastik factory runs three shifts,same_form_different_meaning,OK
FF0176,kilang sarung tangan,Indonesian / Bahasa Indonesia,sarung tangan refinery/processing plant (refinery sense),Kilang sarung tangan mentah berada di pesisir.,kilang sarung tangan mentah berada di pesisir,The raw sarung tangan refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,sarung tangan factory (manufacturing),Kilang sarung tangan itu beroperasi tiga syif.,kilang sarung tangan itu beroperasi tiga syif,The sarung tangan factory runs three shifts,same_form_different_meaning,OK
FF0177,kilang simen,Indonesian / Bahasa Indonesia,simen refinery/processing plant (refinery sense),Kilang simen mentah berada di pesisir.,kilang simen mentah berada di pesisir,The raw simen refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,simen factory (manufacturing),Kilang simen itu beroperasi tiga syif.,kilang simen itu beroperasi tiga syif,The simen factory runs three shifts,same_form_different_meaning,OK
FF0178,kilang tekstil,Indonesian / Bahasa Indonesia,tekstil refinery/processing plant (refinery sense),Kilang tekstil mentah berada di pesisir.,kilang tekstil mentah berada di pesisir,The raw tekstil refinery is on the coast.,Industry & Manufacturing,Malay / Bahasa Malaysia,tekstil factory (manufacturing),Kilang tekstil itu beroperasi tiga syif.,kilang tekstil itu beroperasi tiga syif,The tekstil factory runs three shifts,same_form_different_meaning,OK
FF0179,kira,Indonesian / Bahasa Indonesia,Think / Assume,Saya kira dia sudah balik.,saya kira dia sudah balik,I thought she had gone home.,General,Malay / Bahasa Malaysia,Count,Tolong kira duit ini.,tolong kira duit ini,Please count this money.,same_form_different_meaning,OK
FF0180,komisi,Indonesian / Bahasa Indonesia,commission (fee/body),Dia menerima komisi jualan.,dia menerima komisi jualan,He received a sales commission.,Law & Public Administration,Malay / Bahasa Malaysia,commission (mission/assignment),Komisi itu dibentuk untuk siasatan.,komisi itu dibentuk untuk siasatan,The commission was formed for an inquiry,same_form_different_meaning,OK
FF0181,kompaun,Indonesian / Bahasa Indonesia,compound (mixture/complex),Kompaun kimia itu stabil.,kompaun kimia itu stabil,That chemical compound is stable.,Public Safety & Enforcement,Malay / Bahasa Malaysia,compound fine/penalty,Dia bayar kompaun parkir di kaunter.,dia bayar kompaun parkir di kaunter,He paid a parking compound fine,same_form_different_meaning,OK
FF0182,kompeni,Indonesian / Bahasa Indonesia,Dutch colonial government/Company (historical),Catatan sejarah menyebut kompeni Belanda.,catatan sejarah menyebut kompeni belanda,Historical records mention the Dutch colonial company.,General/Operations,Malay / Bahasa Malaysia,company (corporation),Kompeni itu menandatangani kontrak baharu.,kompeni itu menandatangani kontrak baharu,The company signed a new contract,same_form_different_meaning,OK
FF0183,konfeksi,Indonesian / Bahasa Indonesia,ready-to-wear clothing,Konfeksi coklat itu manis.,konfeksi coklat itu manis,The chocolate confection is sweet.,General/Operations,Malay / Bahasa Malaysia,confection (sweets),Kedai konfeksi menjual baju siap.,kedai konfeksi menjual baju siap,The ready-to-wear shop sells ready-made clothes,same_form_different_meaning,OK
FF0184,konkrit,Indonesian / Bahasa Indonesia,concrete (real/tangible),Kita perlukan bukti yang konkrit.,kita perlukan bukti yang konkrit,We need concrete evidence.,Property & Infrastructure,Malay / Bahasa Malaysia,concrete (building material),Struktur konkrit perlu diuji kekuatan.,struktur konkrit perlu diuji kekuatan,The concrete structure must be strength-tested,same_form_different_meaning,OK
FF0185,konkrit bukti,Indonesian / Bahasa Indonesia,concrete (real/tangible) bukti,Kami perlukan bukti yang konkrit.,kami perlukan bukti yang konkrit,We need concrete (real) bukti.,Property & Infrastructure,Malay / Bahasa Malaysia,concrete (building material) bukti,Kontrak minta spesifikasi konkrit bukti.,kontrak minta spesifikasi konkrit bukti,The contract requires concrete bukti specifications,same_form_different_meaning,OK
FF0186,konkrit contoh,Indonesian / Bahasa Indonesia,concrete (real/tangible) contoh,Kami perlukan contoh yang konkrit.,kami perlukan contoh yang konkrit,We need concrete (real) contoh.,Property & Infrastructure,Malay / Bahasa Malaysia,concrete (building material) contoh,Kontrak minta spesifikasi konkrit contoh.,kontrak minta spesifikasi konkrit contoh,The contract requires concrete contoh specifications,same_form_different_meaning,OK
FF0187,konkrit empangan,Indonesian / Bahasa Indonesia,concrete (real/tangible) empangan,Kami perlukan empangan yang konkrit.,kami perlukan empangan yang konkrit,We need concrete (real) empangan.,Property & Infrastructure,Malay / Bahasa Malaysia,concrete (building material) empangan,Kontrak minta spesifikasi konkrit empangan.,kontrak minta spesifikasi konkrit empangan,The contract requires concrete empangan specifications,same_form_different_meaning,OK
FF0188,konkrit jalan,Indonesian / Bahasa Indonesia,concrete (real/tangible) jalan,Kami perlukan jalan yang konkrit.,kami perlukan jalan yang konkrit,We need concrete (real) jalan.,Property & Infrastructure,Malay / Bahasa Malaysia,concrete (building material) jalan,Kontrak minta spesifikasi konkrit jalan.,kontrak minta spesifikasi konkrit jalan,The contract requires concrete jalan specifications,same_form_different_meaning,OK
FF0189,konkrit jambatan,Indonesian / Bahasa Indonesia,concrete (real/tangible) jambatan,Kami perlukan jambatan yang konkrit.,kami perlukan jambatan yang konkrit,We need concrete (real) jambatan.,Property & Infrastructure,Malay / Bahasa Malaysia,concrete (building material) jambatan,Kontrak minta spesifikasi konkrit jambatan.,kontrak minta spesifikasi konkrit jambatan,The contract requires concrete jambatan specifications,same_form_different_meaning,OK
